시작에들어가는가상글입	시작에들어가는가상글/NNP
세계청소년선수권대회	세계/NNG + 청소년/NNG + 선수권/NNG + 대회/NNG
한일월드컵조직위원장	한일/NNP + 월드컵/NNG + 조직/NNG + 위원장/NNG
금당쌍탑식가람배치	금당/NNG + 쌍/NNG + 탑식/NNG + 가람/NNG + 배치/NNG
금당일탑식가람배치	금당/NNG + 일탑식/NNG + 가람/NNG + 배치/NNG
자조정감독그룹회의	자/NNG + 조정/NNG + 감독/NNG + 그룹/NNG + 회의/NNG
금당일탑식가람지	금당/NNG + 일탑식/NNG + 가람지/NNG
컨페더레이션스컵	컨페더레이션스/NNG + 컵/NNG
S커뮤니케이션	S/SL + 커뮤니케이션/NNG
금당쌍탑식가람	금당/NNG + 쌍/NNG + 탑식/NNG + 가람/NNG
금당일탑식가람	금당/NNG + 일탑식/NNG + 가람/NNG
금당일탑식배치	금당/NNG + 일탑식/NNG + 배치/NNG
뉴크레오타이드	뉴크레오타이드/NNG
당원내총무회담	당/NNG + 원내/NNG + 총무/NNG + 회담/NNG
백밀리리터들이	백/NR + 밀리리터들이/NNG
비즈니스전용기	비즈니스/NNG + 전용기/NNG
억싱가포르달러	억/NR + 싱가포르/NNP + 달러/NNB
인유권자위원회	인/NNG + 유권자/NNG + 위원회/NNG
정책조정위원장	정책/NNG + 조정/NNG + 위원장/NNG
파운드짜리폭탄	파운드/NNB + 짜리/XSN + 폭탄/NNG
D애니메이션	D/SL + 애니메이션/NNG
가구설문조사	가구/NNG + 설문/NNG + 조사/NNG
강플레이오프	강/NNG + 플레이오프/NNG
개년계획기간	개년/NNB + 계획/NNG + 기간/NNG
공중강습사단	공중/NNG + 강습/NNG + 사단/NNG
마이크로그램	마이크로그램/NNB
마이크로미터	마이크로미터/NNB
메가바이트당	메가바이트/NNG + 당/XSN
메가와트짜리	메가와트/NNG + 짜리/XSN
백기가bps	백/NR + 기가/NNG + bps/SL
백여만원어치	백/NR + 여/XSN + 만/NR + 원/NNB + 어치/NNG
백주년기념관	백/NR + 주년/NNB + 기념관/NNG
성조정위원회	성/NNG + 조정/NNG + 위원회/NNG
아테네올림픽	아테네/NNP + 올림픽/NNG
억스위스프랑	억/NR + 스위스/NNP + 프랑/NNB
여자프로농구	여자/NNG + 프로/NNG + 농구/NNG
월물가상승률	월/NNB + 물가/NNG + 상승/NNG + 률/XSN
응급정보센터	응급/NNG + 정보/NNG + 센터/NNG
제곱센티미터	제곱센티미터/NNB
제곱킬로미터	제곱/NNG + 킬로미터/NNB
주기추모사업	주기/NNB + 추모/NNG + 사업/NNG
차대전중나치	차/NNB + 대전/NNG + 중/NNB + 나치/NNP
천만달러짜리	천만/NR + 달러/NNB + 짜리/XSN
천만여원어치	천만/NR + 여/XSN + 원/NNB + 어치/NNG
천만원어치의	천만/NR + 원/NNB + 어치/NNG + 의/JKG
천여만원어치	천/NR + 여/XSN + 만/NR + 원/NNB + 어치/NNG
킬로그램짜리	킬로그램/NNB + 짜리/XSN
킬로미터가량	킬로미터/NNB + 가량/NNG
프랑스월드컵	프랑스/NNP + 월드컵/NNG
한국드림리그	한국/NNP + 드림/NNG + 리그/NNG
being	being/SL
D業種忌避	D/SL + 業種忌避/SH
TV코리아	TV/SL + 코리아/NNP
units	units/SL
wtour	wtour/SL
가구1주택	가구/NNG + 1/SN + 주택/NNG
각형기단지	각형/NNG + 기단지/NNG
개국위원회	개국/NNB + 위원회/NNG
개국제공항	개/NNB + 국제공항/NNG
개년계획상	개년/NNB + 계획/NNG + 상/XSN
개월여동안	개월/NNB + 여/XSN + 동안/NNG
공비리수사	공/NNG + 비리/NNG + 수사/NNG
공비리진상	공/NNG + 비리/NNG + 진상/NNG
共비리척결	共/SH + 비리/NNG + 척결/NNG
공화국비리	공화국/NNG + 비리/NNG
國軍事同盟	國軍事同盟/SH
군부사령관	군/NNG + 부사령관/NNG
금당일탑식	금당/NNG + 일탑식/NNG
기가바이트	기가바이트/NNB
기가헤르츠	기가/NNG + 헤르츠/NNB
년미만짜리	년/NNB + 미만/NNG + 짜리/XSN
년사업연도	년/NNB + 사업/NNG + 연도/NNG
단지관리소	단지/NNG + 관리소/NNG
당대표회담	당/NNG + 대표/NNG + 회담/NNG
당연립체제	당/NNG + 연립/NNG + 체제/NNG
당총무협상	당/NNG + 총무/NNG + 협상/NNG
대감시대상	대/NNG + 감시/NNG + 대상/NNG
大經濟問題	大經濟問題/SH
대불가사의	대/NNG + 불가사의/NNG
대총선대책	대/NNB + 총선/NNG + 대책/NNG
도연합의병	도/NNG + 연합/NNG + 의병/NNG
라운드짜리	라운드/NNG + 짜리/XSN
마이크로g	마이크로/NNG + g/SL
만군중대회	만/NR + 군중대회/NNG
만달러돌파	만/NR + 달러/NNB + 돌파/NNG
만달러어치	만/NR + 달러/NNB + 어치/NNG
만마일리지	만/NR + 마일리지/NNG
만여개업체	만/NR + 여/XSN + 개/NNB + 업체/NNG
만여원어치	만/NR + 여/XSN + 원/NNB + 어치/NNG
만원권수표	만/NR + 원/NNB + 권/NNG + 수표/NNG
만호주달러	만/NR + 호주/NNP + 달러/NNG
메가바이트	메가바이트/NNB
메가바이트	메가바이트/NNG
메가헤르츠	메가헤르츠/NNG
미국월드컵	미국월드컵/NNP
밀리리터당	밀리리터/NNB + 당/XSN
밀리미터쯤	밀리미터/NNB + 쯤/XSN
방범순찰대	방범/NNG + 순찰대/NNG
백ml짜리	백/NR + ml/SL + 짜리/XSN
백MW규모	백/NR + MW/SL + 규모/NNG
백m달리기	백/NR + m/SL + 달리기/NNG
백달러이상	백/NR + 달러/NNB + 이상/NNG
백만원어치	백만/NR + 원/NNB + 어치/NNG
백만원이상	백만/NR + 원/NNB + 이상/NNG
백만원짜리	백만/NR + 원/NNB + 짜리/XSN
백만크로네	백만/NR + 크로네/NNG
백만파운드	백만/NR + 파운드/NNB
백억마르크	백억/NR + 마르크/NNG
백억원어치	백억/NR + 원/NNB + 어치/NNG
백여m가량	백/NR + 여/XSN + m/SL + 가량/NNG
베니스건축	베니스/NNP + 건축/NNG
부대책임자	부대/NNG + 책임자/NNG
비트컴퓨터	비트/NNB + 컴퓨터/NNG
비트플레인	비트플레인/NNG
서울올림픽	서울/NNP + 올림픽/NNG
세기위원회	세기/NNG + 위원회/NNG
세기폭스사	세기/NNG + 폭스사/NNP
센티미터씩	센티미터/NNB + 씩/XSN
센티미터쯤	센티미터/NNB + 쯤/XSN
스위스프랑	스위스/NNP + 프랑/NNB
스타디온안	스타디온/NNG + 안/NNG
시간여가량	시간/NNB + 여/XSN + 가량/NNG
시그마제도	시그마/NNG + 제도/NNG
아시안게임	아시안/NNG + 게임/NNG
